City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1338,Pizarro,CO,77.9,overcast clouds,4.9533,-77.366,Hotel Limonar
1347,Wahiawa,US,77.22,light intensity drizzle,21.5028,-158.0236,The Inn At Schofield
1348,Carutapera,BR,76.57,moderate rain,-1.195,-46.02,Lidera
1352,Nioro,GM,80.22,overcast clouds,13.35,-15.75,
1355,Manicore,BR,75.78,overcast clouds,-5.8092,-61.3003,Hotel Durval
1358,Kango,GA,76.15,scattered clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
1359,Teacapan,MX,77.9,clear sky,22.55,-105.75,Hotel los Mangos
1365,Isla Mujeres,MX,80.17,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
1369,Manzanillo,CU,79.59,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
1377,Amalner,IN,85.51,clear sky,21.05,75.0667,Government Rest House
1380,Katobu,ID,76.42,overcast clouds,-4.9408,122.5276,La Ode Husein
1388,Tomatlan,MX,86.56,few clouds,19.9333,-105.25,El Salvial
1394,Jacmel,HT,76.93,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
1399,Pangai,TO,82.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
1402,Manaure,CO,83.03,broken clouds,11.7751,-72.4445,Hotel Palaaima
1410,Upata,VE,77.0,overcast clouds,8.0086,-62.3989,Posada Villa Nela
